FALSE,FALSE,#594639,焦茶,焦茶,,,焦茶(焦茶),焦茶(焦茶)
FALSE,TRUE,#FFA75E,こうじ色,柑子色 (存在しないページ),柑子色(こうじ色),,こうじ色(柑子色 (存在しないページ)),柑子色 (存在しないページ)(こうじ色)
FALSE,FALSE,#DDA273,杏色,杏色,,,杏色(杏色),杏色(杏色)
FALSE,FALSE,#FA8000,蜜柑色,蜜柑色,,,蜜柑色(蜜柑色),蜜柑色(蜜柑色)
FALSE,FALSE,#763900,褐色,褐色,,,褐色(褐色),褐色(褐色)
FALSE,FALSE,#A96E2D,土色,土色 (存在しないページ),,,土色(土色 (存在しないページ)),土色 (存在しないページ)(土色)
FALSE,FALSE,#D9A46D,小麦色,小麦色,,,小麦色(小麦色),小麦色(小麦色)
FALSE,TRUE,#C67400,こはく色,琥珀色,琥珀色(こはく色),,こはく色(琥珀色),琥珀色(こはく色)
FALSE,FALSE,#C47600,金茶,金茶,,,金茶(金茶),金茶(金茶)
FALSE,FALSE,#FABE6F,卵色,卵色,,,卵色(卵色),卵色(卵色)
TRUE,FALSE,#FFA500,山吹色,山吹色,山吹色,,山吹色(山吹色),山吹色(山吹色)
TRUE,FALSE,#C18A39,黄土色,黄土色,黄土色,,黄土色(黄土色),黄土色(黄土色)
FALSE,TRUE,#897868,朽葉（くちば）色,朽葉色,朽葉（くちば）色,,朽葉（くちば）色(朽葉色),朽葉色(朽葉（くちば）色)
FALSE,FALSE,#FFB500,ひまわり色,向日葵色,,,ひまわり色(向日葵色),向日葵色(ひまわり色)
FALSE,TRUE,#FCAC00,うこん色,鬱金色,鬱金色(うこん色),,うこん色(鬱金色),鬱金色(うこん色)
FALSE,FALSE,#C9B9A8,砂色,砂色 (存在しないページ),,,砂色(砂色 (存在しないページ)),砂色 (存在しないページ)(砂色)
TRUE,FALSE,#CDA966,芥子（からし）色,芥子色 (存在しないページ),芥子（からし）色,,芥子（からし）色(芥子色 (存在しないページ)),芥子色 (存在しないページ)(芥子（からし）色)
FALSE,FALSE,#FFBE00,黄色,黄色,,,黄色(黄色),黄色(黄色)
FALSE,FALSE,#FFBE00,たんぽぽ色,蒲公英色 (存在しないページ),,,たんぽぽ色(蒲公英色 (存在しないページ)),蒲公英色 (存在しないページ)(たんぽぽ色)
FALSE,FALSE,#70613A,鶯茶,鶯茶,,,鶯茶(鶯茶),鶯茶(鶯茶)
FALSE,FALSE,#FAD43A,中黄,中黄,,,中黄(中黄),中黄(中黄)
FALSE,TRUE,#EED67E,刈安（かりやす）色,刈安色,刈安（かりやす）色,,刈安（かりやす）色(刈安色),刈安色(刈安（かりやす）色)
FALSE,TRUE,#D9CB65,きはだ色,黄蘗色,黄蘗色(きはだ色),,きはだ色(黄蘗色),黄蘗色(きはだ色)
FALSE,TRUE,#736F55,みる色,海松色,海松色(みる色),,みる色(海松色),海松色(みる色)
FALSE,TRUE,#C2C05C,ひわ色,鶸色,鶸色(ひわ色),,ひわ色(鶸色),鶸色(ひわ色)
TRUE,FALSE,#71714A,鶯（うぐいす）色,鶯色,鶯（うぐいす）色,,鶯（うぐいす）色(鶯色),鶯色(鶯（うぐいす）色)
FALSE,FALSE,#BDBF92,抹茶色,抹茶色 (存在しないページ),,,抹茶色(抹茶色 (存在しないページ)),抹茶色 (存在しないページ)(抹茶色)
FALSE,FALSE,#B9C42F,黄緑,黄緑,,,黄緑(黄緑),黄緑(黄緑)
FALSE,FALSE,#7A7F46,苔色,苔色,,,苔色(苔色),苔色(苔色)
FALSE,FALSE,#A9B735,若草色,若草色 (存在しないページ),,,若草色(若草色 (存在しないページ)),若草色 (存在しないページ)(若草色)
TRUE,FALSE,#96AA3D,萌黄（もえぎ）,萌黄,萌黄（もえぎ）,,萌黄（もえぎ）(萌黄),萌黄(萌黄（もえぎ）)
FALSE,FALSE,#72814B,草色,草色 (存在しないページ),,,草色(草色 (存在しないページ)),草色 (存在しないページ)(草色)
FALSE,FALSE,#AFC297,若葉色,若葉色 (存在しないページ),,,若葉色(若葉色 (存在しないページ)),若葉色 (存在しないページ)(若葉色)
TRUE,FALSE,#6E815C,松葉色,松葉色,松葉色,,松葉色(松葉色),松葉色(松葉色)
FALSE,FALSE,#CADBCF,白緑（びゃくろく）,白緑 (存在しないページ),,,白緑（びゃくろく）(白緑 (存在しないページ)),白緑 (存在しないページ)(白緑（びゃくろく）)
FALSE,FALSE,#4DB56A,緑,緑,,,緑(緑),緑(緑)
FALSE,TRUE,#357C4C,常磐（ときわ）色,常磐色 (存在しないページ),常磐（ときわ）色,,常磐（ときわ）色(常磐色 (存在しないページ)),常磐色 (存在しないページ)(常磐（ときわ）色)
FALSE,TRUE,#5F836D,緑青（ろくしょう）色,緑青色 (存在しないページ),緑青（ろくしょう）色,,緑青（ろくしょう）色(緑青色 (存在しないページ)),緑青色 (存在しないページ)(緑青（ろくしょう）色)
FALSE,FALSE,#4A6956,千歳緑（ちとせみどり）,千歳緑,,,千歳緑（ちとせみどり）(千歳緑),千歳緑(千歳緑（ちとせみどり）)
FALSE,FALSE,#005731,深緑,深緑,,,深緑(深緑),深緑(深緑)
FALSE,FALSE,#15543B,もえぎ色,萌葱色,,,もえぎ色(萌葱色),萌葱色(もえぎ色)
TRUE,FALSE,#49A581,若竹色,若竹色 (存在しないページ),若竹色,,若竹色(若竹色 (存在しないページ)),若竹色 (存在しないページ)(若竹色)
TRUE,FALSE,#80AA9F,青磁色,青磁色,青磁色,,青磁色(青磁色),青磁色(青磁色)
FALSE,FALSE,#7AAAAC,青竹色,青竹色 (存在しないページ),,,青竹色(青竹色 (存在しないページ)),青竹色 (存在しないページ)(青竹色)
FALSE,TRUE,#244344,鉄色,鉄色 (存在しないページ),鉄色,,鉄色(鉄色 (存在しないページ)),鉄色 (存在しないページ)(鉄色)
FALSE,FALSE,#0090A8,青緑,青緑,,,青緑(青緑),青緑(青緑)
FALSE,FALSE,#6C8D9B,錆浅葱,錆浅葱 (存在しないページ),,,錆浅葱(錆浅葱 (存在しないページ)),錆浅葱 (存在しないページ)(錆浅葱)
FALSE,FALSE,#7A99AA,水浅葱,水浅葱 (存在しないページ),,,水浅葱(水浅葱 (存在しないページ)),水浅葱 (存在しないページ)(水浅葱)
FALSE,TRUE,#69AAC6,新橋色,新橋色,新橋色,,新橋色(新橋色),新橋色(新橋色)
TRUE,FALSE,#0087AA,浅葱（あさぎ）色,浅葱色,浅葱（あさぎ）色,,浅葱（あさぎ）色(浅葱色),浅葱色(浅葱（あさぎ）色)
FALSE,FALSE,#84B5CF,白群（びゃくぐん）,白群 (存在しないページ),,,白群（びゃくぐん）(白群 (存在しないページ)),白群 (存在しないページ)(白群（びゃくぐん）)
FALSE,TRUE,#166A88,納戸色,納戸色 (存在しないページ),納戸色,,納戸色(納戸色 (存在しないページ)),納戸色 (存在しないページ)(納戸色)
