"#3E2E28","黒茶","黒茶"
"#313131","墨","墨"
"#262626","黒","黒"
"#262626","鉄黒 (存在しないページ)","鉄黒"
"#C74F90","ローズレッド (存在しないページ)","ローズレッド"
"#EF93B6","ローズピンク (存在しないページ)","ローズピンク"
"#AF3168","コチニールレッド (存在しないページ)","コチニールレッド"
"#B91E68","ルビーレッド","ルビーレッド"
"#83274E","ワインレッド","ワインレッド"
"#452A35","ワインレッド","バーガンディー"
"#C97F96","オールドローズ (存在しないページ)","オールドローズ"
"#D94177","ローズ","ローズ"
"#BB1E5E","ストロベリー","ストロベリー"
"#FF87A0","コーラルレッド (存在しないページ)","コーラルレッド"
"#EB97A8","ピンク","ピンク"
"#55353B","ワインレッド","ボルドー"
"#FFC9D2","ベビーピンク (存在しないページ)","ベビーピンク"
"#DD4157","ポピーレッド (存在しないページ)","ポピーレッド"
"#CE314A","シグナルレッド","シグナルレッド"
"#BE1E3E","カーマイン","カーマイン"
"#DE424C","レッド","レッド"
"#DE424C","トマトレッド (存在しないページ)","トマトレッド"
"#682A2B","マルーン (色)","マルーン"
"#ED514E","バーミリオン","バーミリオン"
"#DE4335","スカーレット","スカーレット"
"#AC5647","テラコッタ","テラコッタ"
"#FFA594","サーモンピンク","サーモンピンク"
"#FBCCC3","シェルピンク (存在しないページ)","シェルピンク"
"#F1BEB1","ネールピンク (存在しないページ)","ネールピンク"
"#FF5D20","チャイニーズレッド (存在しないページ)","チャイニーズレッド"
"#CC572C","キャロットオレンジ (存在しないページ)","キャロットオレンジ"
"#A8593C","バーントシェンナ","バーントシェンナ"
"#52372F","チョコレート色","チョコレート"
"#754C38","ココアブラウン (存在しないページ)","ココアブラウン"
"#EBC0AF","ピーチ","ピーチ"
"#BB6421","ローシェンナ","ローシェンナ"
"#FD7E00","オレンジ色","オレンジ"
"#734E31","茶色","ブラウン"
"#DDA273","アプリコット (色)","アプリコット"
"#A56F3F","タン","タン"
"#FD951E","マンダリンオレンジ","マンダリンオレンジ"
"#A58161","コルク","コルク"
"#F8CFAE","エクルベイジュ (存在しないページ)","エクルベイジュ"
"#F39A38","ゴールデンイエロー","ゴールデンイエロー"
"#FFA000","マリーゴールド (色)","マリーゴールド"
"#C5996D","バフ","バフ"
"#B37D40","アンバー (顔料)","アンバー"
"#815A2B","ブロンズ","ブロンズ"
"#C1AB96","ベージュ","ベージュ"
"#C18A39","イエローオーカー","イエローオーカー"
"#5B462A","バーントアンバー","バーントアンバー"
"#4A3B2A","セピア","セピア"
"#9A753A","カーキー","カーキー"
"#E3B466","ブロンド","ブロンド"
"#F2C26B","ネープルスイエロー","ネープルスイエロー"
"#E1C59B","レグホーン","レグホーン"
"#7F5C13","ローアンバー","ローアンバー"
"#FFBC00","クロムイエロー","クロムイエロー"
"#FFCC00","黄色","イエロー"
"#E8D5AF","クリームイエロー (存在しないページ)","クリームイエロー"
"#FFCC00","ジョンブリアン","ジョンブリアン"
"#F7D54E","カナリヤ","カナリヤ"
"#68624E","オリーブドラブ","オリーブドラブ"
"#605627","オリーブ色","オリーブ"
"#E8C800","レモンイエロー","レモンイエロー"
"#565838","オリーブグリーン","オリーブグリーン"
"#BDD458","シャトルーズグリーン","シャトルーズグリーン"
"#879D4E","リーフグリーン (存在しないページ)","リーフグリーン"
"#737C3E","グラスグリーン (存在しないページ)","グラスグリーン"
"#9AB961","シーグリーン","シーグリーン"
"#516A39","アイビーグリーン (存在しないページ)","アイビーグリーン"
"#B0D3A8","アップルグリーン (存在しないページ)","アップルグリーン"
"#81CC91","ミントグリーン (存在しないページ)","ミントグリーン"
"#2A9B50","緑","グリーン"
"#5DC288","コバルトグリーン","コバルトグリーン"
"#4DA573","エメラルドグリーン","エメラルドグリーン"
"#008047","マラカイトグリーン","マラカイトグリーン"
"#264435","ボトルグリーン (存在しないページ)","ボトルグリーン"
"#3E795C","フォレストグリーン (存在しないページ)","フォレストグリーン"
"#156F5C","ビリジアン (色)","ビリジアン"
"#004840","ビリヤードグリーン (存在しないページ)","ビリヤードグリーン"
"#007F91","ピーコックグリーン (存在しないページ)","ピーコックグリーン"
"#5190A4","ナイルブルー","ナイルブルー"
"#00708B","ピーコックブルー (存在しないページ)","ピーコックブルー"
"#399ECC","ターコイズブルー","ターコイズブルー"
"#005175","マリンブルー","マリンブルー"
"#91B2D2","ホリゾンブルー (存在しないページ)","ホリゾンブルー"
"#219DDD","シアン (色)","シアン"
"#95C0EC","スカイブルー","スカイブルー"
"#0B74AF","セルリアンブルー","セルリアンブルー"
"#ABBDDA","ベビーブルー (存在しないページ)","ベビーブルー"
"#627DA1","サックスブルー (存在しないページ)","サックスブルー"
"#3170B9","青","ブルー"
"#2863AB","コバルトブルー","コバルトブルー"
"#3D496B","紺青 (色)","アイアンブルー"
"#3D496B","紺青 (色)","プルシャンブルー"
"#00152D","ミッドナイトブルー","ミッドナイトブルー"
"#7586BB","ヒヤシンス","ヒヤシンス"
"#333C5E","ネービーブルー","ネービーブルー"
"#414FA3","群青色","ウルトラマリンブルー"
"#37438F","オリエンタルブルー (存在しないページ)","オリエンタルブルー"
"#776ED2","ウィスタリア","ウィスタリア"
"#40317E","菫色","パンジー"
"#836DC5","ヘリオトロープ","ヘリオトロープ"
"#6D52AB","菫色","バイオレット"
"#9E8EAE","ラベンダー","ラベンダー"
"#835FA8","モーブ (色)","モーブ"
"#C2A2DA","ライラック (色)","ライラック"
"#C7A1D7","オーキッド","オーキッド"
"#A260BF","紫","パープル"
"#C949A2","マゼンタ","マゼンタ"
"#CF61A5","チェリーピンク (存在しないページ)","チェリーピンク"
"#F1F1F1","白","ホワイト"
"#F1F1F1","スノーホワイト","スノーホワイト"
"#E3D4CA","アイボリー","アイボリー"
"#BABAC6","スカイグレイ (存在しないページ)","スカイグレイ"
"#ADADAD","パールグレイ (存在しないページ)","パールグレイ"
"#A0A0A0","シルバーグレイ (存在しないページ)","シルバーグレイ"
"#939393","アッシュグレイ (存在しないページ)","アッシュグレイ"
"#93848B","ローズグレイ (存在しないページ)","ローズグレイ"
"#797979","グレイ","グレイ"
"#736C79","スチールグレイ (存在しないページ)","スチールグレイ"
"#56555E","スレートグレイ","スレートグレイ"
"#4E4854","チャコールグレイ (存在しないページ)","チャコールグレイ"
"#1C1C1C","ランプブラック","ランプブラック"
"#1C1C1C","黒","ブラック"
